rank,a_nm,h_spine_nm,spine_full_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,wl_lo_nm,wl_hi_nm,wl_center_nm
87,380.0,209.0,418.0,214.0,195.5,186.0,279.2,28.5,6,45.62,5.8,1497.7,1542.2,1520.0
88,380.0,172.7,345.3,180.0,284.6,180.0,247.4,28.5,6,45.57,5.87,1463.7,1509.0,1486.4
89,380.0,209.0,418.0,180.0,266.0,180.0,266.0,0.0,6,45.52,6.14,1505.7,1548.1,1526.9
90,380.0,209.0,418.0,206.8,268.3,179.8,206.4,28.5,6,45.49,5.73,1493.0,1537.8,1515.4
91,380.0,209.0,418.0,186.7,268.3,186.7,206.4,28.5,6,45.42,5.69,1485.1,1529.8,1507.5
92,380.0,209.0,418.0,211.0,253.9,162.3,220.8,28.5,6,45.42,5.47,1484.7,1527.6,1506.1
93,380.0,209.0,418.0,193.3,195.5,193.3,279.2,28.5,6,45.37,5.75,1493.0,1537.7,1515.4
94,380.0,209.0,418.0,206.8,195.5,179.8,279.2,28.5,6,45.27,5.75,1492.6,1537.2,1514.9
95,380.0,209.0,418.0,165.4,218.1,194.6,256.6,28.5,6,45.17,5.6,1477.7,1522.8,1500.3
96,380.0,209.0,418.0,211.0,218.1,162.3,256.6,28.5,6,45.01,5.52,1483.4,1525.7,1504.5
97,380.0,209.0,418.0,218.6,195.5,168.1,279.2,28.5,6,44.8,5.58,1490.2,1532.4,1511.3
98,380.0,209.0,418.0,165.4,268.3,194.6,206.4,28.5,6,44.66,5.48,1477.6,1519.9,1498.8
99,380.0,172.7,345.3,180.0,266.0,180.0,266.0,28.5,6,44.62,5.86,1466.9,1509.0,1487.9
100,380.0,209.0,418.0,211.0,237.3,162.3,237.3,28.5,6,44.52,5.51,1482.8,1525.2,1504.0
101,380.0,209.0,418.0,186.7,266.0,186.7,266.0,0.0,6,44.44,6.18,1508.2,1550.5,1529.4
102,380.0,209.0,418.0,186.7,218.1,186.7,256.6,28.5,6,44.36,5.75,1485.3,1529.5,1507.4
103,380.0,209.0,418.0,180.0,268.3,180.0,206.4,28.5,6,44.29,5.55,1481.9,1523.9,1502.9
104,380.0,209.0,418.0,183.8,218.1,216.2,256.6,28.5,6,44.28,5.86,1497.9,1542.0,1520.0
105,380.0,209.0,418.0,192.6,218.1,167.4,256.6,28.5,6,44.16,5.52,1478.1,1520.1,1499.1
106,380.0,209.0,418.0,183.8,268.3,216.2,206.4,28.5,6,44.09,5.86,1496.2,1540.2,1518.2
107,380.0,209.0,418.0,192.6,253.9,167.4,220.8,28.5,6,43.94,5.49,1478.3,1520.6,1499.4
