rank,a_nm,h_spine_nm,spine_full_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,wl_lo_nm,wl_hi_nm,wl_center_nm
263,380.0,209.0,418.0,218.6,253.9,168.1,220.8,57.0,6,26.07,6.17,1516.6,1542.6,1529.6
264,380.0,209.0,418.0,214.0,218.1,186.0,256.6,57.0,6,26.04,6.37,1521.6,1546.9,1534.2
265,380.0,209.0,418.0,180.0,237.3,180.0,237.3,57.0,6,26.03,6.04,1499.3,1525.3,1512.3
266,380.0,209.0,418.0,206.8,218.1,179.8,256.6,57.0,6,26.01,6.24,1513.1,1538.7,1525.9
267,380.0,209.0,418.0,200.0,268.3,200.0,206.4,57.0,6,25.98,6.36,1522.3,1547.6,1535.0
268,380.0,209.0,418.0,206.8,253.9,179.8,220.8,57.0,6,25.96,6.18,1513.0,1538.8,1525.9
269,380.0,209.0,418.0,193.3,268.3,193.3,206.4,57.0,6,25.83,6.34,1520.0,1545.3,1532.6
270,380.0,209.0,418.0,199.7,218.1,173.6,256.6,57.0,6,25.8,6.19,1509.1,1534.7,1521.9
271,380.0,209.0,418.0,199.7,253.9,173.6,220.8,57.0,6,25.62,6.04,1511.9,1534.9,1523.4
272,380.0,136.3,272.7,186.7,266.0,186.7,266.0,0.0,6,25.57,5.81,1403.7,1427.4,1415.5
273,380.0,209.0,418.0,218.6,218.1,168.1,256.6,57.0,6,25.51,6.17,1518.7,1541.4,1530.1
274,435.0,239.3,478.5,205.0,263.0,205.0,263.0,0.0,6,25.48,6.0,1672.6,1697.4,1685.0
275,380.0,209.0,418.0,192.6,237.3,167.4,237.3,57.0,6,25.47,6.01,1506.9,1529.9,1518.4
276,380.0,172.7,345.3,186.7,237.3,186.7,237.3,0.0,6,25.33,5.87,1419.2,1440.1,1429.6
277,380.0,209.0,418.0,177.7,253.9,209.0,220.8,57.0,6,25.27,6.12,1515.0,1537.8,1526.4
278,380.0,209.0,418.0,177.7,237.3,209.0,237.3,57.0,6,25.26,6.14,1515.2,1538.0,1526.6
279,380.0,136.3,272.7,186.7,237.3,186.7,237.3,0.0,3,25.22,5.76,1639.8,1660.1,1650.0
280,380.0,209.0,418.0,214.0,237.3,186.0,237.3,57.0,6,25.12,6.3,1523.2,1545.6,1534.4
281,380.0,136.3,272.7,180.0,237.3,180.0,237.3,0.0,3,25.11,5.77,1636.1,1656.2,1646.2
282,380.0,209.0,418.0,206.8,237.3,179.8,237.3,57.0,6,24.98,6.16,1514.9,1537.5,1526.2
283,380.0,209.0,418.0,171.5,253.9,201.8,220.8,57.0,6,24.9,6.07,1510.6,1533.4,1522.0
284,380.0,172.7,345.3,180.0,237.3,180.0,237.3,0.0,6,24.89,5.86,1417.0,1437.8,1427.4
285,380.0,209.0,418.0,171.5,237.3,201.8,237.3,57.0,6,24.82,6.1,1510.8,1533.6,1522.2
286,380.0,136.3,272.7,200.0,237.3,200.0,237.3,0.0,3,24.82,5.87,1657.1,1681.6,1669.3
287,380.0,209.0,418.0,218.6,237.3,168.1,237.3,57.0,6,24.81,6.16,1518.1,1540.8,1529.4
288,380.0,209.0,418.0,199.7,237.3,173.6,237.3,57.0,6,24.68,6.11,1510.8,1533.5,1522.2
289,380.0,209.0,418.0,193.3,208.7,193.3,208.7,0.0,6,24.56,5.91,1430.4,1451.5,1441.0
290,380.0,209.0,418.0,200.0,218.1,200.0,256.6,57.0,6,24.5,6.42,1525.6,1547.6,1536.6
291,380.0,209.0,418.0,193.3,218.1,193.3,256.6,57.0,6,24.35,6.39,1523.3,1545.3,1534.3
292,435.0,192.8,385.7,205.0,263.0,205.0,263.0,0.0,6,24.27,5.76,1598.8,1619.0,1608.9
293,380.0,136.3,272.7,180.0,266.0,180.0,266.0,0.0,6,24.26,5.8,1401.5,1425.2,1413.3
294,380.0,209.0,418.0,183.8,253.9,216.2,220.8,57.0,6,24.15,6.3,1523.3,1545.7,1534.5
295,380.0,209.0,418.0,183.8,237.3,216.2,237.3,57.0,6,24.09,6.32,1523.6,1545.9,1534.8
296,380.0,209.0,418.0,186.7,208.7,186.7,208.7,0.0,6,23.98,5.91,1426.5,1447.5,1437.0
297,380.0,209.0,418.0,180.0,208.7,180.0,208.7,0.0,6,23.67,5.91,1424.3,1445.3,1434.8
298,380.0,209.0,418.0,200.0,253.9,200.0,220.8,57.0,6,23.56,6.38,1524.1,1546.3,1535.2
299,380.0,209.0,418.0,193.3,253.9,193.3,220.8,57.0,6,23.47,6.36,1521.7,1543.9,1532.8
300,380.0,100.0,200.0,200.0,208.7,200.0,208.7,0.0,3,23.27,5.88,1557.7,1579.3,1568.5
301,380.0,209.0,418.0,200.0,237.3,200.0,237.3,57.0,6,22.89,6.45,1523.8,1545.7,1534.7
302,380.0,100.0,200.0,193.3,208.7,193.3,208.7,0.0,3,22.79,5.91,1543.9,1565.0,1554.4
303,380.0,209.0,418.0,193.3,237.3,193.3,237.3,57.0,6,22.78,6.42,1521.4,1543.3,1532.4
304,380.0,100.0,200.0,186.7,208.7,186.7,208.7,0.0,3,22.58,5.92,1537.9,1558.8,1548.3
305,380.0,100.0,200.0,180.0,208.7,180.0,208.7,0.0,3,22.46,5.93,1534.5,1555.2,1544.9
306,435.0,146.4,292.8,180.0,304.5,180.0,304.5,0.0,6,20.84,5.87,1562.9,1581.8,1572.4
307,435.0,100.0,200.0,180.0,221.5,180.0,221.5,0.0,3,20.58,5.84,1656.5,1674.3,1665.4
308,380.0,136.3,272.7,180.0,208.7,180.0,208.7,0.0,3,19.64,5.67,1597.4,1616.9,1607.1
309,380.0,136.3,272.7,200.0,208.7,200.0,208.7,0.0,3,19.46,5.73,1620.1,1635.9,1628.0
310,435.0,146.4,292.8,255.0,263.0,255.0,263.0,0.0,6,19.31,5.78,1554.3,1570.1,1562.2
311,435.0,192.8,385.7,230.0,304.5,230.0,304.5,0.0,6,18.61,6.25,1682.7,1699.8,1691.3
312,380.0,100.0,200.0,180.0,180.0,180.0,180.0,0.0,3,18.4,5.85,1486.7,1503.1,1494.9
313,435.0,146.4,292.8,230.0,263.0,230.0,263.0,0.0,6,18.29,5.88,1540.5,1555.8,1548.1
314,435.0,100.0,200.0,255.0,304.5,255.0,304.5,0.0,6,17.93,5.98,1536.4,1551.3,1543.9
315,435.0,239.3,478.5,230.0,221.5,230.0,221.5,0.0,6,17.76,5.53,1630.6,1645.0,1637.8
316,380.0,100.0,200.0,193.3,237.3,193.3,237.3,0.0,3,17.48,6.09,1591.0,1605.6,1598.3
317,380.0,100.0,200.0,180.0,237.3,180.0,237.3,0.0,3,17.16,5.97,1581.1,1595.6,1588.4
318,435.0,100.0,200.0,230.0,304.5,230.0,304.5,0.0,6,16.95,5.88,1524.9,1536.8,1530.8
319,380.0,136.3,272.7,186.7,208.7,186.7,208.7,0.0,3,16.67,5.62,1604.4,1616.2,1610.3
320,435.0,100.0,200.0,255.0,180.0,255.0,180.0,0.0,4,16.55,5.74,1615.1,1670.0,1642.6
321,435.0,146.4,292.8,205.0,263.0,205.0,263.0,0.0,6,16.49,5.81,1523.1,1538.2,1530.7
322,380.0,136.3,272.7,193.3,208.7,193.3,208.7,0.0,3,16.26,5.66,1610.4,1646.3,1628.4
323,380.0,100.0,200.0,200.0,180.0,200.0,180.0,0.0,3,15.82,5.64,1510.7,1524.6,1517.7
324,380.0,100.0,200.0,186.7,180.0,186.7,180.0,0.0,3,15.55,5.65,1492.6,1542.0,1517.3
325,435.0,100.0,200.0,205.0,304.5,205.0,304.5,0.0,6,15.39,5.79,1507.4,1519.2,1513.3
326,435.0,239.3,478.5,255.0,221.5,255.0,221.5,0.0,6,15.36,5.32,1649.8,1661.2,1655.5
327,380.0,100.0,200.0,200.0,237.3,200.0,237.3,0.0,3,14.37,6.23,1602.6,1616.8,1609.7
328,490.0,100.0,200.0,256.0,343.0,256.0,343.0,0.0,6,14.16,5.88,1684.1,1697.0,1690.6
329,435.0,146.4,292.8,180.0,263.0,180.0,263.0,0.0,6,14.0,5.96,1495.9,1507.2,1501.5
330,435.0,146.4,292.8,180.0,180.0,180.0,180.0,0.0,4,13.71,5.94,1685.6,1696.4,1691.0
331,490.0,156.5,313.0,218.0,288.7,218.0,288.7,0.0,6,13.68,5.94,1656.6,1669.0,1662.8
332,490.0,100.0,200.0,218.0,343.0,218.0,343.0,0.0,6,13.1,5.87,1648.0,1660.5,1654.2
333,380.0,100.0,200.0,193.3,180.0,193.3,180.0,0.0,3,12.9,5.5,1501.1,1511.6,1506.4
334,380.0,100.0,200.0,200.0,266.0,200.0,266.0,0.0,2,12.86,5.36,1651.8,1660.5,1656.2
335,435.0,100.0,200.0,180.0,304.5,180.0,304.5,0.0,6,12.85,5.95,1480.2,1488.5,1484.3
336,490.0,269.5,539.0,180.0,180.0,180.0,180.0,0.0,7,12.34,5.78,1643.3,1652.6,1648.0
337,435.0,146.4,292.8,255.0,221.5,255.0,221.5,0.0,6,12.33,5.77,1472.9,1481.4,1477.2
338,380.0,100.0,200.0,193.3,266.0,193.3,266.0,0.0,2,12.18,5.58,1635.9,1644.4,1640.1
339,435.0,146.4,292.8,230.0,221.5,230.0,221.5,0.0,6,11.47,5.77,1461.2,1469.6,1465.4
340,435.0,100.0,200.0,255.0,263.0,255.0,263.0,0.0,6,10.83,5.87,1451.5,1459.6,1455.6
341,435.0,100.0,200.0,230.0,180.0,230.0,180.0,0.0,4,10.69,6.18,1635.6,1645.4,1640.5
342,380.0,209.0,418.0,186.7,253.9,186.7,220.8,85.5,5,10.56,6.05,1545.3,1615.8,1580.6
343,490.0,156.5,313.0,180.0,288.7,180.0,288.7,0.0,6,10.5,5.96,1617.2,1623.1,1620.1
344,380.0,209.0,418.0,200.0,268.3,200.0,206.4,85.5,5,10.45,5.97,1560.1,1631.4,1595.8
345,380.0,209.0,418.0,186.7,237.3,186.7,237.3,85.5,5,10.33,5.94,1545.8,1617.3,1581.6
346,435.0,146.4,292.8,205.0,221.5,205.0,221.5,0.0,6,10.29,6.05,1444.0,1451.8,1447.9
347,380.0,209.0,418.0,193.3,237.3,193.3,237.3,85.5,5,10.18,5.92,1552.9,1625.4,1589.2
348,380.0,209.0,418.0,200.0,253.9,200.0,220.8,85.5,5,10.15,5.84,1559.1,1631.5,1595.3
349,380.0,209.0,418.0,200.0,218.1,200.0,256.6,85.5,5,10.15,5.82,1558.6,1631.1,1594.8
350,435.0,239.3,478.5,180.0,304.5,180.0,304.5,0.0,7,10.1,5.79,1529.7,1538.9,1534.3
351,490.0,100.0,200.0,180.0,343.0,180.0,343.0,0.0,6,10.1,5.83,1608.3,1614.2,1611.2
352,380.0,209.0,418.0,183.8,253.9,216.2,220.8,85.5,5,10.05,5.93,1557.0,1630.0,1593.5
353,435.0,100.0,200.0,230.0,263.0,230.0,263.0,0.0,6,10.0,5.83,1439.9,1448.0,1444.0
354,380.0,209.0,418.0,214.0,253.9,186.0,220.8,85.5,5,9.91,5.77,1558.4,1631.4,1594.9
355,380.0,172.7,345.3,180.0,208.7,180.0,208.7,0.0,3,9.9,5.54,1663.9,1672.8,1668.3
356,380.0,100.0,200.0,186.7,266.0,186.7,266.0,0.0,5,9.87,5.96,1442.6,1448.6,1445.6
357,380.0,209.0,418.0,200.0,237.3,200.0,237.3,85.5,5,9.84,5.89,1559.5,1633.2,1596.3
358,380.0,209.0,418.0,183.8,218.1,216.2,256.6,85.5,5,9.79,5.73,1558.3,1631.6,1595.0
359,380.0,100.0,200.0,180.0,266.0,180.0,266.0,0.0,5,9.79,6.02,1435.7,1441.6,1438.6
360,490.0,100.0,200.0,294.0,288.7,294.0,288.7,0.0,6,9.75,5.81,1599.0,1604.9,1601.9
361,380.0,209.0,418.0,214.0,237.3,186.0,237.3,85.5,5,9.67,5.82,1558.1,1632.1,1595.1
362,380.0,209.0,418.0,183.8,237.3,216.2,237.3,85.5,5,9.61,5.8,1558.3,1632.6,1595.5
363,380.0,172.7,345.3,186.7,208.7,186.7,208.7,0.0,5,9.53,5.92,1481.1,1487.5,1484.3
364,380.0,136.3,272.7,193.3,180.0,193.3,180.0,0.0,4,9.51,6.27,1562.9,1569.6,1566.2
365,380.0,172.7,345.3,193.3,208.7,193.3,208.7,0.0,5,9.39,5.8,1486.0,1492.6,1489.3
366,380.0,172.7,345.3,200.0,208.7,200.0,208.7,0.0,3,9.21,5.36,1685.4,1689.9,1687.7
367,380.0,136.3,272.7,200.0,180.0,200.0,180.0,0.0,4,9.04,6.23,1574.9,1581.7,1578.3
368,435.0,100.0,200.0,205.0,263.0,205.0,263.0,0.0,6,8.95,5.8,1425.3,1430.6,1427.9
369,380.0,136.3,272.7,186.7,180.0,186.7,180.0,0.0,4,8.93,6.29,1557.6,1564.2,1560.9
370,435.0,146.4,292.8,180.0,221.5,180.0,221.5,0.0,6,8.66,6.01,1420.5,1428.1,1424.3
371,435.0,239.3,478.5,205.0,304.5,205.0,304.5,0.0,7,8.65,5.83,1544.8,1550.9,1547.8
372,490.0,156.5,313.0,256.0,234.3,256.0,234.3,0.0,6,8.53,5.6,1582.5,1588.5,1585.5
373,490.0,269.5,539.0,218.0,180.0,218.0,180.0,0.0,7,8.22,5.78,1680.0,1693.1,1686.6
374,490.0,100.0,200.0,256.0,288.7,256.0,288.7,0.0,6,8.19,6.15,1574.1,1579.5,1576.8
375,380.0,136.3,272.7,180.0,180.0,180.0,180.0,0.0,4,8.17,6.3,1554.5,1561.0,1557.7
376,380.0,209.0,418.0,165.4,253.9,194.6,220.8,114.0,4,8.14,6.93,1675.3,1682.3,1678.8
377,435.0,239.3,478.5,180.0,180.0,180.0,180.0,0.0,5,8.1,5.66,1656.8,1660.4,1658.6
378,380.0,209.0,418.0,200.0,180.0,200.0,180.0,0.0,5,7.78,5.6,1502.2,1505.6,1503.9
379,490.0,100.0,200.0,180.0,288.7,180.0,288.7,0.0,5,7.65,5.7,1680.6,1683.9,1682.3
380,435.0,239.3,478.5,205.0,180.0,205.0,180.0,0.0,5,7.6,5.84,1670.2,1677.5,1673.9
381,435.0,192.8,385.7,205.0,180.0,205.0,180.0,0.0,5,7.45,5.92,1598.7,1601.9,1600.3
382,435.0,192.8,385.7,180.0,180.0,180.0,180.0,0.0,5,7.43,5.78,1582.0,1588.5,1585.3
383,435.0,100.0,200.0,180.0,263.0,180.0,263.0,0.0,6,7.35,5.68,1402.5,1407.7,1405.1
384,380.0,209.0,418.0,180.0,237.3,180.0,237.3,114.0,7,7.31,6.05,1420.4,1426.2,1423.3
385,435.0,192.8,385.7,230.0,180.0,230.0,180.0,0.0,5,7.28,5.54,1613.9,1617.4,1615.6
386,380.0,209.0,418.0,186.7,253.9,186.7,220.8,114.0,7,7.24,5.62,1425.6,1428.7,1427.1
387,380.0,209.0,418.0,171.5,253.9,201.8,220.8,114.0,7,7.23,5.62,1425.5,1428.6,1427.0
388,380.0,209.0,418.0,192.6,237.3,167.4,237.3,114.0,7,7.22,6.03,1420.2,1426.0,1423.1
389,380.0,209.0,418.0,199.7,218.1,173.6,256.6,114.0,7,7.21,5.6,1424.7,1427.8,1426.3
390,380.0,209.0,418.0,165.4,237.3,194.6,237.3,114.0,7,7.2,6.04,1420.0,1425.8,1422.9
391,380.0,209.0,418.0,186.7,237.3,186.7,237.3,114.0,7,7.19,5.75,1427.5,1430.6,1429.0
392,380.0,209.0,418.0,180.0,253.9,180.0,220.8,114.0,7,7.18,5.95,1418.9,1424.8,1421.8
393,380.0,209.0,418.0,186.7,218.1,186.7,256.6,114.0,7,7.16,5.65,1425.2,1428.3,1426.8
394,380.0,209.0,418.0,186.7,268.3,186.7,206.4,114.0,7,7.11,5.61,1424.6,1427.7,1426.1
395,380.0,209.0,418.0,199.7,237.3,173.6,237.3,114.0,7,7.11,5.73,1427.0,1430.1,1428.6
396,380.0,209.0,418.0,180.0,218.1,180.0,256.6,114.0,7,7.1,5.93,1418.0,1423.9,1420.9
397,380.0,209.0,418.0,211.0,218.1,162.3,256.6,114.0,7,7.08,5.61,1424.2,1427.3,1425.8
398,380.0,209.0,418.0,171.5,237.3,201.8,237.3,114.0,7,7.07,5.75,1427.0,1430.1,1428.5
399,380.0,209.0,418.0,177.7,253.9,209.0,220.8,114.0,7,7.07,5.79,1429.6,1432.6,1431.1
400,490.0,156.5,313.0,256.0,288.7,256.0,288.7,0.0,6,7.06,6.31,1691.5,1697.5,1694.5
401,380.0,209.0,418.0,177.7,268.3,209.0,206.4,114.0,7,7.06,5.72,1428.3,1431.3,1429.8
402,380.0,209.0,418.0,193.3,253.9,193.3,220.8,114.0,7,7.06,5.8,1430.1,1433.1,1431.6
403,380.0,209.0,418.0,192.6,218.1,167.4,256.6,114.0,7,7.06,5.88,1417.8,1423.7,1420.8
404,435.0,100.0,200.0,205.0,180.0,205.0,180.0,0.0,4,7.06,6.36,1610.0,1616.1,1613.0
405,380.0,209.0,418.0,193.3,237.3,193.3,237.3,114.0,7,7.04,5.9,1431.8,1434.8,1433.3
406,380.0,209.0,418.0,199.7,253.9,173.6,220.8,114.0,7,7.03,5.66,1425.4,1428.5,1426.9
407,380.0,209.0,418.0,192.6,253.9,167.4,220.8,114.0,7,7.03,5.95,1418.4,1424.3,1421.4
408,380.0,209.0,418.0,206.8,218.1,179.8,256.6,114.0,7,7.03,5.79,1428.9,1432.0,1430.5
409,435.0,239.3,478.5,230.0,180.0,230.0,180.0,0.0,7,7.01,5.86,1552.1,1583.4,1567.8
410,380.0,209.0,418.0,193.3,218.1,193.3,256.6,114.0,7,7.0,5.8,1429.4,1432.5,1431.0
411,380.0,209.0,418.0,165.4,218.1,194.6,256.6,114.0,7,6.95,5.97,1417.7,1423.5,1420.6
412,380.0,209.0,418.0,218.6,218.1,168.1,256.6,114.0,7,6.94,5.76,1428.5,1431.5,1430.0
413,380.0,209.0,418.0,206.8,237.3,179.8,237.3,114.0,7,6.94,5.94,1431.4,1434.4,1432.9
414,490.0,213.0,426.0,180.0,343.0,180.0,343.0,0.0,7,6.94,6.01,1600.2,1605.9,1603.1
415,380.0,209.0,418.0,165.4,268.3,194.6,206.4,114.0,7,6.94,5.8,1417.0,1423.0,1420.0
416,380.0,209.0,418.0,183.8,253.9,216.2,220.8,114.0,7,6.92,5.95,1433.8,1436.7,1435.3
417,380.0,209.0,418.0,177.7,237.3,209.0,237.3,114.0,7,6.92,5.94,1431.4,1434.3,1432.8
418,380.0,209.0,418.0,183.8,268.3,216.2,206.4,114.0,7,6.91,5.88,1432.4,1435.4,1433.9
419,490.0,213.0,426.0,218.0,343.0,218.0,343.0,0.0,7,6.91,5.79,1620.7,1626.7,1623.7
420,380.0,209.0,418.0,171.5,218.1,201.8,256.6,114.0,7,6.89,5.68,1424.7,1427.7,1426.2
421,380.0,209.0,418.0,200.0,253.9,200.0,220.8,114.0,7,6.89,5.99,1434.2,1437.2,1435.7
422,380.0,209.0,418.0,214.0,218.1,186.0,256.6,114.0,7,6.89,5.97,1433.5,1436.4,1434.9
423,380.0,209.0,418.0,211.0,237.3,162.3,237.3,114.0,7,6.88,5.78,1426.6,1429.7,1428.2
424,380.0,209.0,418.0,200.0,237.3,200.0,237.3,114.0,7,6.88,6.1,1435.9,1438.8,1437.3
425,490.0,156.5,313.0,218.0,234.3,218.0,234.3,0.0,6,6.85,6.12,1551.7,1557.0,1554.4
426,380.0,209.0,418.0,206.8,253.9,179.8,220.8,114.0,7,6.85,5.88,1429.7,1432.7,1431.2
427,380.0,209.0,418.0,200.0,218.1,200.0,256.6,114.0,7,6.83,6.0,1433.6,1436.5,1435.0
428,380.0,209.0,418.0,214.0,237.3,186.0,237.3,114.0,7,6.81,6.13,1435.9,1438.8,1437.3
429,380.0,209.0,418.0,183.8,237.3,216.2,237.3,114.0,7,6.78,6.12,1435.6,1438.5,1437.1
430,380.0,209.0,418.0,218.6,237.3,168.1,237.3,114.0,7,6.76,5.95,1430.9,1433.9,1432.4
431,380.0,209.0,418.0,177.7,218.1,209.0,256.6,114.0,7,6.73,5.89,1429.0,1432.0,1430.5
432,380.0,209.0,418.0,211.0,253.9,162.3,220.8,114.0,7,6.71,5.74,1424.9,1428.0,1426.4
433,380.0,209.0,418.0,214.0,253.9,186.0,220.8,114.0,7,6.7,6.07,1434.2,1437.1,1435.6
434,435.0,239.3,478.5,255.0,180.0,255.0,180.0,0.0,7,6.64,5.76,1565.4,1581.5,1573.5
435,380.0,209.0,418.0,183.8,218.1,216.2,256.6,114.0,7,6.59,6.09,1433.3,1436.2,1434.8
436,435.0,192.8,385.7,255.0,180.0,255.0,180.0,0.0,5,6.58,5.87,1625.3,1628.7,1627.0
437,380.0,209.0,418.0,218.6,253.9,168.1,220.8,114.0,7,6.57,5.94,1429.4,1432.3,1430.9
438,380.0,209.0,418.0,214.0,268.3,186.0,206.4,114.0,7,6.51,6.08,1433.0,1435.9,1434.4
439,490.0,100.0,200.0,218.0,288.7,218.0,288.7,0.0,6,6.31,5.89,1545.1,1550.5,1547.8
440,435.0,146.4,292.8,205.0,180.0,205.0,180.0,0.0,5,6.27,5.79,1521.6,1524.6,1523.1
441,435.0,100.0,200.0,205.0,221.5,205.0,221.5,0.0,5,6.22,6.06,1498.8,1501.6,1500.2
442,435.0,100.0,200.0,230.0,221.5,230.0,221.5,0.0,5,6.21,5.8,1513.4,1516.4,1514.9
443,435.0,146.4,292.8,230.0,180.0,230.0,180.0,0.0,5,6.16,5.52,1535.3,1538.5,1536.9
444,435.0,100.0,200.0,255.0,221.5,255.0,221.5,0.0,5,5.94,5.41,1527.2,1530.5,1528.9
445,435.0,146.4,292.8,255.0,180.0,255.0,180.0,0.0,5,5.84,6.04,1545.4,1548.3,1546.8
446,490.0,100.0,200.0,218.0,234.3,218.0,234.3,0.0,5,5.6,6.28,1628.6,1631.4,1630.0
447,490.0,100.0,200.0,256.0,234.3,256.0,234.3,0.0,5,5.54,6.02,1648.9,1651.9,1650.4
448,490.0,156.5,313.0,218.0,180.0,218.0,180.0,0.0,5,5.47,5.97,1651.3,1654.3,1652.8
449,435.0,100.0,200.0,180.0,180.0,180.0,180.0,0.0,4,5.27,6.1,1574.7,1580.8,1577.7
450,490.0,156.5,313.0,256.0,180.0,256.0,180.0,0.0,5,5.22,5.68,1669.3,1672.6,1670.9
451,490.0,100.0,200.0,180.0,234.3,180.0,234.3,0.0,5,5.18,6.12,1603.4,1606.2,1604.8
452,490.0,156.5,313.0,180.0,180.0,180.0,180.0,0.0,5,5.15,5.91,1628.9,1631.9,1630.4
453,490.0,156.5,313.0,294.0,180.0,294.0,180.0,0.0,5,5.14,5.59,1685.9,1685.9,1685.9
454,545.0,166.6,333.2,229.0,247.2,229.0,247.2,0.0,6,5.05,5.72,1681.5,1681.5,1681.5
455,490.0,100.0,200.0,294.0,234.3,294.0,234.3,0.0,5,4.9,5.96,1666.4,1666.4,1666.4
456,490.0,156.5,313.0,180.0,234.3,180.0,234.3,0.0,6,4.84,5.7,1520.1,1522.8,1521.5
457,545.0,100.0,200.0,229.0,314.3,229.0,314.3,0.0,6,4.74,6.09,1673.4,1676.1,1674.8
458,490.0,213.0,426.0,180.0,288.7,180.0,288.7,0.0,7,4.2,5.95,1552.5,1555.2,1553.8
459,435.0,239.3,478.5,230.0,263.0,230.0,263.0,0.0,6,4.15,6.72,1694.2,1697.4,1695.8
460,435.0,192.8,385.7,255.0,304.5,255.0,304.5,0.0,6,3.92,6.76,1696.7,1699.9,1698.3
461,490.0,100.0,200.0,256.0,180.0,256.0,180.0,0.0,5,3.11,5.88,1561.7,1561.7,1561.7
462,490.0,100.0,200.0,218.0,180.0,218.0,180.0,0.0,5,3.08,6.04,1547.5,1547.5,1547.5
